,lat,lng,line,center_distance,mcc,circle
Чеховская,55.765747,37.608493,Серпуховско-Тимирязевская,1.23425952355491,0,0
Чистые пруды,55.76499,37.638293,Сокольническая,1.6460120122557378,0,0
Чкаловская,55.755951,37.659293,Люблинско-Дмитровская,2.618404678542971,0,0
Шаболовская,55.718828,37.607892,Калужско-Рижская,4.174283391931213,0,0
Шелепиха,55.75723,37.52571,Большая кольцевая линия,5.770411275331013,0,0
Шереметьевская,55.983882,37.498752,МЦД - 1,26.449087449204157,0,0
Шипиловская,55.621667,37.743611,Люблинско-Дмитровская,16.91850951108148,0,0
Шоссе Энтузиастов,55.758633,37.748477,МЦК,8.22312586309167,1,0
Щелковская,55.809962,37.798261,Арбатско-Покровская,12.83367436429567,0,0
Щербинка,55.509724,37.562008,МЦД - 2,27.632788849555016,0,0
Щукинская,55.8094,37.463241,Таганско-Краснопресненская,11.368321538659833,0,0
Электрозаводская,55.782057,37.7053,Арбатско-Покровская,6.226988803128491,0,0
Юго-Восточная,55.4218,37.4905,Некрасовская,38.05223639778658,0,0
Юго-Западная,55.663146,37.482852,Сокольническая,13.35746983723144,0,0
Южная,55.622436,37.609047,Серпуховско-Тимирязевская,14.871192477480413,0,0
Ясенево,55.606182,37.5334,Калужско-Рижская,17.492094911507404,0,0
